time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2019/10/22/08:46:55.256422,4822,1571759215,172251000,/map,-187.04298400878906,-379.23748779296875,-11.498547554016113,0.022791119492919686,-0.004513883656791192,-0.1925435146396963,0.9810133458301092
2019/10/22/08:46:55.338008,4823,1571759215,272830000,/map,-186.68472290039062,-379.3983459472656,-11.480863571166992,0.02181629193812881,-0.004272921459512979,-0.19149667413789884,0.9812414663793998
2019/10/22/08:46:55.481499,4824,1571759215,373699000,/map,-186.3158721923828,-379.5590515136719,-11.473698616027832,0.02179647079966815,-0.004721698262733232,-0.1900443426811609,0.9815221684919198
2019/10/22/08:46:55.568410,4825,1571759215,474551000,/map,-185.95626831054688,-379.72100830078125,-11.473044395446777,0.022522357222021505,-0.005374950092429504,-0.18888633473373698,0.9817259321661633
2019/10/22/08:46:55.673367,4826,1571759215,575423000,/map,-185.58872985839844,-379.88079833984375,-11.473073959350586,0.024829362505250092,-0.006757073161648782,-0.18766439562820478,0.9818960837753512
2019/10/22/08:46:55.788974,4827,1571759215,676540000,/map,-185.22970581054688,-380.03497314453125,-11.464936256408691,0.02632710147754298,-0.007940710694021748,-0.18622724798120585,0.9821218055571375
2019/10/22/08:46:55.860921,4828,1571759215,777137000,/map,-184.87612915039062,-380.1881408691406,-11.469112396240234,0.028093577494589902,-0.008233286992912554,-0.1850243484485248,0.9822977931208269
2019/10/22/08:46:55.974618,4829,1571759215,878021000,/map,-184.5133819580078,-380.355224609375,-11.453094482421875,0.029292351876608242,-0.007988628397188419,-0.18381345507327826,0.982492113796285
2019/10/22/08:46:56.090901,4830,1571759215,978853000,/map,-184.15716552734375,-380.5034484863281,-11.443320274353027,0.02992946297538348,-0.007408626894513116,-0.1829156096737069,0.9826450118080482
2019/10/22/08:46:56.184598,4831,1571759216,79725000,/map,-183.80035400390625,-380.6402587890625,-11.424221992492676,0.030935319705720287,-0.006180651156864833,-0.18195584070364426,0.9828005278691154
2019/10/22/08:46:56.301808,4832,1571759216,180584000,/map,-183.43931579589844,-380.796630859375,-11.418191909790039,0.03131115766248482,-0.006196340411975457,-0.18086056637107153,0.9829906776278547
2019/10/22/08:46:56.398575,4833,1571759216,281436000,/map,-183.0864715576172,-380.9433288574219,-11.403395652770996,0.03169037011510494,-0.006320200627415192,-0.17950222315884076,0.9832266917588387
2019/10/22/08:46:56.492626,4834,1571759216,382318000,/map,-182.73406982421875,-381.08612060546875,-11.411870956420898,0.03202608133789836,-0.0059012490152647425,-0.1782828381111075,0.9834402549261683
2019/10/22/08:46:56.622596,4835,1571759216,483418000,/map,-182.3965301513672,-381.2281494140625,-11.39221477508545,0.03218476054477511,-0.005509486551990244,-0.17747384145752454,0.9835836631140833
2019/10/22/08:46:56.756757,4836,1571759216,584041000,/map,-182.07470703125,-381.3505554199219,-11.386728286743164,0.03129372956399871,-0.005424149559851573,-0.17683362676469788,0.9837281888493239
2019/10/22/08:46:56.858850,4837,1571759216,684925000,/map,-181.76393127441406,-381.4793395996094,-11.382002830505371,0.02993974233324983,-0.005097721330889354,-0.1757293840220357,0.983969922638638
2019/10/22/08:46:57.015155,4838,1571759216,791277000,/map,-181.47439575195312,-381.596435546875,-11.37717342376709,0.02912236536022174,-0.005132186035402116,-0.17512441589590705,0.9841021224748178
2019/10/22/08:46:57.138533,4839,1571759216,987490000,/map,-180.97491455078125,-381.80059814453125,-11.372636795043945,0.027872936435030343,-0.006340156369693555,-0.1737990582921837,0.9843661865222955
2019/10/22/08:46:57.243109,4840,1571759217,88322000,/map,-180.73870849609375,-381.900390625,-11.36976432800293,0.02771465116483214,-0.0064899588407375045,-0.17319599924618262,0.9844759643537131
2019/10/22/08:46:57.334529,4841,1571759217,189719000,/map,-180.52928161621094,-381.97906494140625,-11.369977951049805,0.02828280122121004,-0.0065673455646946466,-0.17251551428335754,0.9845787680317223
2019/10/22/08:46:57.422141,4842,1571759217,290048000,/map,-180.339111328125,-382.04888916015625,-11.376694679260254,0.028850038635671343,-0.007200881547384054,-0.1717867890805548,0.9846852906756828
2019/10/22/08:46:57.511590,4843,1571759217,390901000,/map,-180.17340087890625,-382.1162414550781,-11.377819061279297,0.029588252232312703,-0.007218151984716202,-0.17119917590674946,0.9847655943322817
2019/10/22/08:46:57.618247,4844,1571759217,491775000,/map,-180.02108764648438,-382.176513671875,-11.37466812133789,0.029893656123234205,-0.007427348830616956,-0.17041374998573308,0.9848910384548811
2019/10/22/08:46:57.676679,4845,1571759217,592630000,/map,-179.8827667236328,-382.23388671875,-11.373212814331055,0.029649557604191287,-0.007374506903484814,-0.16993156434773227,0.9849821236043519
2019/10/22/08:46:57.770087,4846,1571759217,693527000,/map,-179.76040649414062,-382.28167724609375,-11.377812385559082,0.029374229116694288,-0.007120777656346064,-0.16914262082712028,0.985128023664489
2019/10/22/08:46:57.855748,4847,1571759217,794344000,/map,-179.656982421875,-382.3248291015625,-11.366462707519531,0.0296056460363823,-0.007749785163488016,-0.16876946290026196,0.9851803464062024
2019/10/22/08:46:57.971395,4848,1571759217,895231000,/map,-179.56365966796875,-382.35711669921875,-11.364903450012207,0.03056393713686993,-0.010721348093064666,-0.16893997563690216,0.9850939970751845
2019/10/22/08:46:58.066607,4849,1571759217,996221000,/map,-179.46751403808594,-382.3851013183594,-11.374284744262695,0.03177276142674032,-0.013853193985019512,-0.1684317750767351,0.9851037091556568
2019/10/22/08:46:58.180034,4850,1571759218,96927000,/map,-179.3875732421875,-382.4163818359375,-11.379453659057617,0.0319616787120932,-0.01523198105101174,-0.16744459251282448,0.9852455258895524
2019/10/22/08:46:58.273951,4851,1571759218,197783000,/map,-179.30360412597656,-382.4505920410156,-11.37082290649414,0.031126158282993945,-0.015189650466058028,-0.16628189106071026,0.9854698217066492
2019/10/22/08:46:58.373764,4852,1571759218,298645000,/map,-179.22496032714844,-382.4717102050781,-11.36909294128418,0.030423186148888153,-0.014285986806572448,-0.16490634686996652,0.985736393305794
2019/10/22/08:46:58.497626,4853,1571759218,399579000,/map,-179.1331329345703,-382.50689697265625,-11.365751266479492,0.029075606257635153,-0.012852031755571734,-0.16305706038851583,0.9861043704689483
2019/10/22/08:46:58.589818,4854,1571759218,500394000,/map,-179.05284118652344,-382.5417175292969,-11.360067367553711,0.02705698702763833,-0.010257395774067854,-0.1604603388897499,0.9866180542278288
2019/10/22/08:46:58.668431,4855,1571759218,601228000,/map,-178.96627807617188,-382.5734558105469,-11.36722183227539,0.024818229536652893,-0.008042517432889165,-0.15830541372725465,0.9870454748291237
2019/10/22/08:46:58.770676,4856,1571759218,702092000,/map,-178.8719940185547,-382.6074523925781,-11.367105484008789,0.02461612417848099,-0.007388292067331558,-0.15598323948730747,0.9874252825251149
2019/10/22/08:46:58.883025,4857,1571759218,802945000,/map,-178.78604125976562,-382.64202880859375,-11.363161087036133,0.025315687113400993,-0.00794070863571834,-0.15341742430585784,0.9878052212109912
2019/10/22/08:46:58.979499,4858,1571759218,903837000,/map,-178.6918182373047,-382.67559814453125,-11.356932640075684,0.02646545309453545,-0.008290962509585286,-0.15070862560626375,0.9881891265851069
2019/10/22/08:46:59.083585,4859,1571759219,4678000,/map,-178.59716796875,-382.7079162597656,-11.35114574432373,0.027197684601834526,-0.008185712037869134,-0.1480168715430252,0.9885768992897558
2019/10/22/08:46:59.175763,4860,1571759219,105528000,/map,-178.50982666015625,-382.7389221191406,-11.352363586425781,0.027618699493067195,-0.008957645578598968,-0.14525447448966308,0.9889682025549312
2019/10/22/08:46:59.272045,4861,1571759219,206393000,/map,-178.41835021972656,-382.7685852050781,-11.35689926147461,0.028281163342714577,-0.00962856679628065,-0.14254190372819472,0.9893377947814256
2019/10/22/08:46:59.380058,4862,1571759219,307247000,/map,-178.3283233642578,-382.8092346191406,-11.347743034362793,0.026950146851652045,-0.009379054562197888,-0.13949769380037338,0.9898111518590661
2019/10/22/08:46:59.478340,4863,1571759219,408178000,/map,-178.2440643310547,-382.834716796875,-11.341772079467773,0.02637312695870417,-0.0092037306923417,-0.13652027526631552,0.9902433862222823
2019/10/22/08:46:59.578093,4864,1571759219,508986000,/map,-178.15386962890625,-382.8618469238281,-11.352678298950195,0.025158793721781397,-0.00933977980150687,-0.13378388817468614,0.9906470990602998
2019/10/22/08:46:59.678752,4865,1571759219,609837000,/map,-178.0732879638672,-382.8876953125,-11.33292007446289,0.02466994620861085,-0.008637959571385516,-0.13069772736936586,0.9910776374578281
2019/10/22/08:46:59.775139,4866,1571759219,710694000,/map,-177.97781372070312,-382.91290283203125,-11.336321830749512,0.02425642140536191,-0.008726428170129604,-0.1271193820337588,0.9915523880175734
2019/10/22/08:46:59.887948,4867,1571759219,811558000,/map,-177.89205932617188,-382.93878173828125,-11.332953453063965,0.02403199724870051,-0.008397898634467877,-0.12368842996037428,0.991994511426702
2019/10/22/08:46:59.976607,4868,1571759219,912427000,/map,-177.80711364746094,-382.9668273925781,-11.327690124511719,0.023900265111679163,-0.008286455924799655,-0.1201709203955214,0.9924308851839965
2019/10/22/08:47:00.074180,4869,1571759220,13281000,/map,-177.72628784179688,-382.992431640625,-11.327251434326172,0.02417349501289174,-0.00754583063067964,-0.11594552207420411,0.9929326958509801
2019/10/22/08:47:00.170577,4870,1571759220,114131000,/map,-177.64508056640625,-383.01678466796875,-11.327092170715332,0.024161314345143393,-0.007526566757742236,-0.11194308780768537,0.9933923327538002
2019/10/22/08:47:00.303472,4871,1571759220,214992000,/map,-177.56109619140625,-383.0447998046875,-11.330238342285156,0.023623087838811962,-0.007286231278372912,-0.10797310739069033,0.9938464009267812
2019/10/22/08:47:00.400727,4872,1571759220,315915000,/map,-177.46893310546875,-383.06390380859375,-11.32322883605957,0.024267849184770842,-0.007594732468005089,-0.10367726740166369,0.9942858823089104
2019/10/22/08:47:00.507389,4873,1571759220,416769000,/map,-177.38511657714844,-383.0908203125,-11.323770523071289,0.02473573513527135,-0.0076219592616211945,-0.09938679747058544,0.9947121762765713
2019/10/22/08:47:00.582664,4874,1571759220,517577000,/map,-177.3053741455078,-383.10711669921875,-11.315292358398438,0.025313994554652993,-0.007644611402038922,-0.0946079622089887,0.9951633509544356
2019/10/22/08:47:00.720306,4875,1571759220,618434000,/map,-177.2284393310547,-383.1229248046875,-11.317708969116211,0.026271869182985092,-0.008038628390952691,-0.08979561855753433,0.9955811951976062
2019/10/22/08:47:00.809751,4876,1571759220,719353000,/map,-177.14273071289062,-383.1398620605469,-11.3130464553833,0.026461047369957386,-0.008090481980647586,-0.08494783557888477,0.9960011156137669
2019/10/22/08:47:00.907862,4877,1571759220,820171000,/map,-177.06790161132812,-383.1594543457031,-11.3089017868042,0.02615498421033352,-0.008258679745126141,-0.08015810218145741,0.9964047318557312
2019/10/22/08:47:01.015152,4878,1571759220,921030000,/map,-176.98158264160156,-383.1680908203125,-11.30662727355957,0.026065510208194177,-0.008429115500103248,-0.07530039830140656,0.9967845249627031
2019/10/22/08:47:01.104463,4879,1571759221,21908000,/map,-176.90110778808594,-383.1867980957031,-11.312767028808594,0.025241596504475505,-0.008806864142996808,-0.07034092054219787,0.9971647084845855
2019/10/22/08:47:01.213140,4880,1571759221,122746000,/map,-176.8258819580078,-383.1968994140625,-11.310273170471191,0.024768626286048413,-0.00875955966432711,-0.06575879161436751,0.9974896323229668
2019/10/22/08:47:01.321787,4881,1571759221,223599000,/map,-176.7511444091797,-383.2073669433594,-11.307849884033203,0.024724111041339848,-0.008545343173888036,-0.06113079128692969,0.997786912020743
2019/10/22/08:47:01.406314,4882,1571759221,325031000,/map,-176.66603088378906,-383.22271728515625,-11.300178527832031,0.02352181009826745,-0.009229076033289315,-0.056331364676701426,0.9980923434026199
2019/10/22/08:47:01.495800,4883,1571759221,425331000,/map,-176.5907745361328,-383.2287902832031,-11.304944038391113,0.023049666082091923,-0.009498912205694113,-0.05239749692675615,0.998315073449371
2019/10/22/08:47:01.613325,4884,1571759221,526193000,/map,-176.51148986816406,-383.2391662597656,-11.294927597045898,0.02193940716056379,-0.009120231634285594,-0.048986078562071114,0.9985168240422846
2019/10/22/08:47:01.699326,4885,1571759221,627046000,/map,-176.43930053710938,-383.2364807128906,-11.296244621276855,0.019910123316938345,-0.008485978999234913,-0.0460145589252638,0.9987062809038713
2019/10/22/08:47:01.800091,4886,1571759221,727914000,/map,-176.36398315429688,-383.2469787597656,-11.293261528015137,0.016917320878328403,-0.007766706417584005,-0.043334564939280326,0.9988871798192456
2019/10/22/08:47:01.908988,4887,1571759221,828773000,/map,-176.30685424804688,-383.2513122558594,-11.276143074035645,0.013362563720563622,-0.006965016625799927,-0.04113931340120875,0.9990397826548717
2019/10/22/08:47:02.016560,4888,1571759221,929664000,/map,-176.25131225585938,-383.26580810546875,-11.266140937805176,0.010417030615842806,-0.005445842718357214,-0.038533238042290884,0.9991881793917559
2019/10/22/08:47:02.097388,4889,1571759222,30498000,/map,-176.2054443359375,-383.2681884765625,-11.249932289123535,0.01027524346135715,-0.0041753282482385615,-0.03667095969977459,0.99926584386765
2019/10/22/08:47:02.208956,4890,1571759222,131391000,/map,-176.16078186035156,-383.2749938964844,-11.238275527954102,0.012581045391930628,-0.0034794742720435073,-0.034834134337343135,0.9993078572895363
2019/10/22/08:47:02.307301,4891,1571759222,232214000,/map,-176.11419677734375,-383.2805480957031,-11.228031158447266,0.016442675268556296,-0.0033518340773048792,-0.03319871228271996,0.9993078850590044
2019/10/22/08:47:02.422800,4892,1571759222,333076000,/map,-176.06092834472656,-383.28668212890625,-11.237476348876953,0.02046944655235361,-0.003919637170776013,-0.03166696156726152,0.9992811625100253
2019/10/22/08:47:02.519391,4893,1571759222,433929000,/map,-176.02162170410156,-383.28546142578125,-11.237295150756836,0.024123251064432666,-0.004153217709823138,-0.030421985036335236,0.9992373703816256
2019/10/22/08:47:02.624098,4894,1571759222,535019000,/map,-175.96751403808594,-383.2869873046875,-11.245087623596191,0.026301808387463297,-0.0046030905172493,-0.029023739214454246,0.999222021872642
2019/10/22/08:47:02.737047,4895,1571759222,635656000,/map,-175.9226531982422,-383.2918701171875,-11.256542205810547,0.027415557705559094,-0.005367095706642391,-0.027611425498050634,0.9992282975683457
2019/10/22/08:47:02.846256,4896,1571759222,736556000,/map,-175.87921142578125,-383.291748046875,-11.256786346435547,0.02802586140949676,-0.005997033511526523,-0.02670254771680205,0.9992324857743313
2019/10/22/08:47:02.933267,4897,1571759222,837378000,/map,-175.82794189453125,-383.2966003417969,-11.257332801818848,0.028143160259101338,-0.006242879271366971,-0.025407028319354503,0.999261463232228
2019/10/22/08:47:03.053205,4898,1571759222,938428000,/map,-175.77410888671875,-383.3031005859375,-11.255468368530273,0.028731872287941447,-0.007604382922760964,-0.02418169645868735,0.9992656796025636
2019/10/22/08:47:03.142645,4899,1571759223,39097000,/map,-175.71185302734375,-383.29815673828125,-11.256417274475098,0.029187921745746106,-0.0074617160663307805,-0.02345665634613111,0.9992708207941274
2019/10/22/08:47:03.244490,4900,1571759223,139948000,/map,-175.63446044921875,-383.3031005859375,-11.255794525146484,0.0289832691874348,-0.008765663758030765,-0.02229904713123285,0.9992926927297772
2019/10/22/08:47:03.356977,4901,1571759223,240835000,/map,-175.5335235595703,-383.3053283691406,-11.282904624938965,0.027421606024961742,-0.01059034431767354,-0.02133561633553107,0.9993401280874434
2019/10/22/08:47:03.434310,4902,1571759223,341680000,/map,-175.40408325195312,-383.3084411621094,-11.290602684020996,0.024991788529795386,-0.012539986334494727,-0.020069740990733234,0.9994075068486215
2019/10/22/08:47:03.524053,4903,1571759223,442535000,/map,-175.24508666992188,-383.310546875,-11.285048484802246,0.02166291403148797,-0.0133848091168479,-0.01812113221908794,0.9995114754757286
2019/10/22/08:47:03.643204,4904,1571759223,543397000,/map,-175.0590057373047,-383.3321838378906,-11.248787879943848,0.019916633818301957,-0.011940947030496519,-0.016030655077974038,0.9996018005081492
2019/10/22/08:47:03.716810,4905,1571759223,644256000,/map,-174.8540802001953,-383.34295654296875,-11.22983169555664,0.020422382230928907,-0.011766059244330641,-0.014766195481529892,0.9996131479851964
2019/10/22/08:47:03.819854,4906,1571759223,745129000,/map,-174.62466430664062,-383.3491516113281,-11.227641105651855,0.021103205218229695,-0.011977069672606148,-0.014467627272240467,0.999600866492565
2019/10/22/08:47:03.910783,4907,1571759223,845981000,/map,-174.36651611328125,-383.363037109375,-11.230974197387695,0.02079359052492244,-0.012720181210210194,-0.014949891492793329,0.9995910785553335
2019/10/22/08:47:04.033685,4908,1571759223,946834000,/map,-174.06871032714844,-383.3843994140625,-11.22449016571045,0.019546743480377403,-0.013584987710436985,-0.016396994140873585,0.9995821684640857
