x,y,z,q_x,q_y,q_z,q_w
-136.738,-398.751,-6.103,0.0,0.0,-0.187042849034,0.982351756056
-134.602,-399.595,-6.103,0.0,0.0,-0.190816893142,0.981625648245
-132.377,-400.494,-6.103,0.0,0.0,-0.19636518887,0.98053083205
-130.141,-401.427,-6.103,0.0,0.0,-0.186945348597,0.98237031543
-127.905,-402.31,-6.103,0.0,0.0,-0.177362900444,0.984145518481
-125.669,-403.143,-6.103,0.0,0.0,-0.177362900444,0.984145518481
-123.433,-403.976,-6.103,0.0,0.0,-0.157727649217,0.98748265234
-121.197,-404.709,-6.103,0.0,0.0,-0.137501097775,0.990501614391
-118.961,-405.342,-6.103,0.0,0.0,-0.137501097775,0.990501614391
-116.725,-405.975,-6.103,0.0,0.0,-0.127182085522,0.991879386378
-114.489,-406.558,-6.103,0.0,0.0,-0.11673581284,0.993163002734
-112.253,-407.091,-6.103,0.0,0.0,-0.11673581284,0.993163002734
-110.017,-407.624,-6.103,0.0,0.0,-0.11673581284,0.993163002734
-107.781,-408.157,-6.103,0.0,0.0,-0.11673581284,0.993163002734
-105.545,-408.69,-6.103,0.0,0.0,-0.1142827523,0.993448263639
-103.259,-409.223,-6.103,0.0,0.0,-0.111928741793,0.993716235532
-100.923,-409.756,-6.103,0.0,0.0,-0.131924957112,0.99125970648
-98.587,-410.389,-6.103,0.0,0.0,-0.172584893056,0.984994647036
-97.251,-410.872,-6.103,0.0,0.0,-0.211212749668,0.977440112937
-95.965,-411.455,-6.103,0.0,0.0,-0.241914599371,0.970297545401
-94.829,-412.059,-6.103,0.0,0.0,-0.329788559846,0.944054821392
-93.693,-412.963,-6.103,0.0,0.0,-0.408580980365,0.912722072969
-92.707,-414.067,-6.103,0.0,0.0,-0.503290400255,0.864117337525
-92.028,-415.264,-6.103,0.0,0.0,-0.562780690766,0.826606250945
-91.413,-416.825,-6.103,0.0,0.0,-0.64577283315,0.763529598618
-91.119,-418.572,-6.103,0.0,0.0,-0.693421679986,0.720532007426
-91.075,-419.719,-6.103,0.0,0.0,-0.737634573724,0.67520014488
-91.181,-420.916,-6.103,0.0,0.0,-0.774951215104,0.632021055194
-91.437,-422.163,-6.103,0.0,0.0,-0.786866746042,0.617122940728
-91.743,-423.41,-6.103,0.0,0.0,-0.819583954883,0.572959109272
-92.199,-424.657,-6.103,0.0,0.0,-0.819583954883,0.572959109272
-92.655,-425.904,-6.103,0.0,0.0,-0.838816273797,0.544414601947
-93.211,-427.151,-6.103,0.0,0.0,-0.829457145582,0.558570356932
-93.717,-428.398,-6.103,0.0,0.0,-0.838816273797,0.544414601947
-94.273,-429.645,-6.103,0.0,0.0,-0.847669560268,0.530524567381
-94.879,-430.892,-6.103,0.0,0.0,-0.831126794858,0.556082953226
-95.435,-432.239,-6.103,0.0,0.0,-0.847406782643,0.530944201146
-95.991,-433.386,-6.103,0.0,0.0,-0.830788749418,0.556587867134
-96.513,-434.655,-6.103,0.0,0.0,-0.831015926399,0.556248622534
-97.009,-435.858,-6.103,0.0,0.0,-0.816767508793,0.576966928497
-97.459,-437.127,-6.103,0.0,0.0,-0.819583954883,0.572959109272
-97.915,-438.374,-6.103,0.0,0.0,-0.793607394392,0.608430196133
-98.236,-439.568,-6.103,0.0,0.0,-0.768765500566,0.639530769502
-98.457,-440.762,-6.103,0.0,0.0,-0.781453351917,0.623963667834
-98.728,-441.956,-6.103,0.0,0.0,-0.741897444572,0.670513371781
-98.849,-443.15,-6.103,0.0,0.0,-0.727790881118,0.685799120269
-98.92,-444.344,-6.103,0.0,0.0,-0.69846941721,0.715639904717
-98.891,-445.538,-6.103,0.0,0.0,-0.69846941721,0.715639904717
-98.862,-446.732,-6.103,0.0,0.0,-0.652587370199,0.757713484278
-98.683,-447.926,-6.103,0.0,0.0,-0.605951987079,0.795501218953
-98.354,-449.12,-6.103,0.0,0.0,-0.605951987079,0.795501218953
